Run,Angle,Detector,Ep,Q int,Yield,Yield effcor,Yield err,Yield err effcor
97,120,0,2499.3,1140000.0,0.0005744190000000001,3.050881567640499e-11,4.44e-05,2.35819395951802e-12
97,105,1,2499.3,1140000.0,0.0005813169999999999,3.273931968860119e-11,5.2600000000000005e-05,2.962390942670562e-12
97,90,2,2499.3,1140000.0,0.00030806599999999996,2.942378714934269e-11,4.54e-05,4.336213462635144e-12
97,45,3,2499.3,1140000.0,0.000650745,3.7223979790045365e-11,6.12e-05,3.5007684471655967e-12
97,30,4,2499.3,1140000.0,0.000627178,3.4695728929745706e-11,5.9e-05,3.2639027626208126e-12
97,15,5,2499.3,1140000.0,0.000559815,2.978144271403485e-11,5.44e-05,2.8940104921152457e-12
97,0,6,2499.3,1140000.0,0.000725849,4.0017287072442525e-11,6.330000000000001e-05,3.4898364145788062e-12
97,-15,7,2499.3,1140000.0,0.000639938,3.493654393307925e-11,6.51e-05,3.5540458763871797e-12
97,-30,8,2499.3,1140000.0,0.00059535,3.2568992897200324e-11,5.14e-05,2.8118690432789056e-12
97,-45,9,2499.3,1140000.0,0.0005502209999999999,3.046926846240831e-11,4.429999999999999e-05,2.453175347514341e-12
97,-90,10,2499.3,1140000.0,0.000281224,2.4993592963819594e-11,7.69e-05,6.834435535081383e-12
97,-105,11,2499.3,1140000.0,0.000734692,4.240899201325297e-11,7.2e-05,4.156091838422378e-12
97,-120,12,2499.3,1140000.0,0.00064272,3.5145413002308413e-11,5.08e-05,2.7778612467595025e-12
99,120,0,2496.9,788844.0,0.000578151,3.0707031438948253e-11,5.5299999999999996e-05,2.9371199540843803e-12
99,105,1,2496.9,788844.0,0.000549385,3.0940934373366285e-11,5.6399999999999995e-05,3.1764039765517047e-12
99,90,2,2496.9,788844.0,0.000271418,2.5923488669636685e-11,5.3700000000000004e-05,5.128957333557428e-12
99,45,3,2496.9,788844.0,0.000575225,3.290407728792206e-11,6.0599999999999996e-05,3.4664471878796594e-12
99,30,4,2496.9,788844.0,0.000535229,2.960907477516568e-11,6.38e-05,3.529440614495049e-12
99,15,5,2496.9,788844.0,0.000622542,3.3118438966588406e-11,5.8200000000000005e-05,3.096165636785061e-12
99,0,6,2496.9,788844.0,0.000626781,3.4555500122687495e-11,7.15e-05,3.94191632926358e-12
99,-15,7,2496.9,788844.0,0.000878674,4.7970010850823796e-11,9.87e-05,5.388392135167661e-12
99,-30,8,2496.9,788844.0,0.0005257980000000001,2.8764107377781365e-11,6.840000000000001e-05,3.741864641250529e-12
99,-45,9,2496.9,788844.0,0.000520541,2.8825696355992385e-11,4.68e-05,2.591616394213796e-12
99,-90,10,2496.9,788844.0,0.000410471,3.6480332750590245e-11,0.00010002399999999999,8.889565409115476e-12
99,-105,11,2496.9,788844.0,0.000601225,3.470480993827075e-11,6.24e-05,3.601946259966061e-12
99,-120,12,2496.9,788844.0,0.000637937,3.4883867523110567e-11,6.56e-05,3.5871594052642395e-12
100,120,0,2494.9,652745.0,0.000613776,3.2599163416602075e-11,6.23e-05,3.308907290044428e-12
100,105,1,2494.9,652745.0,0.00084704,4.770463163649567e-11,6.54e-05,3.6832769515333605e-12
100,90,2,2494.9,652745.0,0.000269422,2.573284809537634e-11,4.8899999999999996e-05,4.670503046758999e-12
100,45,3,2494.9,652745.0,0.000635716,3.636428944703145e-11,5.9699999999999994e-05,3.4149652989507534e-12
100,30,4,2494.9,652745.0,0.0006739010000000001,3.728046331581235e-11,7.15e-05,3.955407585209968e-12
100,15,5,2494.9,652745.0,0.0007187830000000001,3.8238337197685166e-11,8.05e-05,4.282497143663186e-12
100,0,6,2494.9,652745.0,0.000834715,4.601925438854894e-11,9.429999999999999e-05,5.198919018874903e-12
100,-15,7,2494.9,652745.0,0.00116524,6.36146915053978e-11,0.000143988,7.860828842538207e-12
100,-30,8,2494.9,652745.0,0.0006891530000000001,3.770054448993751e-11,6.440000000000001e-05,3.523042147610147e-12
100,-45,9,2494.9,652745.0,0.00058032,3.2136043288251074e-11,5.67e-05,3.1398429391436375e-12
100,-90,10,2494.9,652745.0,0.000377969,3.359173946370839e-11,5.99e-05,5.323572022774705e-12
100,-105,11,2494.9,652745.0,0.0007221910000000001,4.168739056780689e-11,7.28e-05,4.202270636627071e-12
100,-120,12,2494.9,652745.0,0.000627363,3.4305656798243736e-11,6.17e-05,3.3738984040366392e-12
101,120,0,2492.8,607596.0,0.00103951,5.521095051483281e-11,7.6e-05,4.036548218994809e-12
101,105,1,2492.8,607596.0,0.0008421689999999999,4.743030071859171e-11,7.709999999999999e-05,4.342211819009511e-12
101,90,2,2492.8,607596.0,0.000435614,4.160606368529396e-11,6.05e-05,5.778434239855203e-12
101,45,3,2492.8,607596.0,0.0009637939999999999,5.5131039620384296e-11,7.58e-05,4.335919089790069e-12
101,30,4,2492.8,607596.0,0.0006559939999999999,3.628984116716402e-11,7.759999999999999e-05,4.292861938633475e-12
101,15,5,2492.8,607596.0,0.000776937,4.133205569324527e-11,7.13e-05,3.793068898673107e-12
101,0,6,2492.8,607596.0,0.000810743,4.4697637350155845e-11,7.56e-05,4.1679562866059674e-12
101,-15,7,2492.8,607596.0,0.00105249,5.7459258747138906e-11,0.000144086,7.866179019126318e-12
101,-30,8,2492.8,607596.0,0.000806008,4.409317011352421e-11,7.53e-05,4.119333442780187e-12
101,-45,9,2492.8,607596.0,0.000733547,4.0621205793298023e-11,5.73e-05,3.173068790351507e-12
101,-90,10,2492.8,607596.0,0.000562516,4.999322938168841e-11,6.73e-05,5.981242022249376e-12
101,-105,11,2492.8,607596.0,0.000845088,4.878143527150959e-11,7.42e-05,4.283083533485284e-12
101,-120,12,2492.8,607596.0,0.00093733,5.125536776427332e-11,8.240000000000001e-05,4.505822179783131e-12
104,120,0,2490.9,726307.0,0.00113044,6.004046800895382e-11,7.06e-05,3.749740845539914e-12
104,105,1,2490.9,726307.0,0.00111528,6.281169905972669e-11,6.759999999999999e-05,3.807179234306653e-12
104,90,2,2490.9,726307.0,0.000411844,3.9335759852544236e-11,5.2600000000000005e-05,5.023894892832788e-12
104,45,3,2490.9,726307.0,0.00117318,6.710835828179306e-11,6.57e-05,3.758177891810126e-12
104,30,4,2490.9,726307.0,0.0010947,6.055922634306787e-11,7.859999999999999e-05,4.348182324440608e-12
104,15,5,2490.9,726307.0,0.00107767,5.733066704113671e-11,7.82e-05,4.160140082415666e-12
104,0,6,2490.9,726307.0,0.00116087,6.400073299513584e-11,8e-05,4.410535753022188e-12
104,-15,7,2490.9,726307.0,0.00145451,7.940699335889275e-11,8.35e-05,4.5585688276241095e-12
104,-30,8,2490.9,726307.0,0.0012699999999999999,6.947614173082121e-11,8.04e-05,4.398332122171673e-12
104,-45,9,2490.9,726307.0,0.000994621,5.507854892370342e-11,6.05e-05,3.3502733301268092e-12
104,-90,10,2490.9,726307.0,0.000900443,8.002626315364481e-11,7.020000000000001e-05,6.238977562584046e-12
104,-105,11,2490.9,726307.0,0.00107198,6.187843512433361e-11,8.58e-05,4.952676107453334e-12
104,-120,12,2490.9,726307.0,0.00119551,6.537324604554042e-11,7.18e-05,3.926189714908115e-12
105,120,0,2489.9,901595.0,0.00164175,8.719740840177272e-11,6.92e-05,3.675383378347905e-12
105,105,1,2489.9,901595.0,0.00151142,8.512199464964145e-11,7.190000000000001e-05,4.049351877909e-12
105,90,2,2489.9,901595.0,0.000770348,7.357694644304092e-11,5.27e-05,5.0334460238077555e-12
105,45,3,2489.9,901595.0,0.00150648,8.617381781513119e-11,6.7e-05,3.83254062026299e-12
105,30,4,2489.9,901595.0,0.00149507,8.270784920866948e-11,7.38e-05,4.082644472566373e-12
105,15,5,2489.9,901595.0,0.00130601,6.947806328690133e-11,7.269999999999999e-05,3.867547109867249e-12
105,0,6,2489.9,901595.0,0.00132628,7.312006698147834e-11,7.4e-05,4.079745571545523e-12
105,-15,7,2489.9,901595.0,0.00150654,8.224750037806978e-11,8.87e-05,4.8424557486258506e-12
105,-30,8,2489.9,901595.0,0.00147929,8.092548165432009e-11,7.15e-05,3.911452073821824e-12
105,-45,9,2489.9,901595.0,0.00140921,7.803700296773554e-11,6.14e-05,3.400112106938613e-12
105,-90,10,2489.9,901595.0,0.000888792,7.89907884017692e-11,8.28e-05,7.358794048176053e-12
105,-105,11,2489.9,901595.0,0.00123588,7.133931640652012e-11,7.5e-05,4.329262331689977e-12
105,-120,12,2489.9,901595.0,0.00166847,9.123579044056747e-11,7.219999999999999e-05,3.948062638110946e-12
106,120,0,2489.0,610293.0,0.00234842,1.247304022164709e-10,0.00010159700000000001,5.396068281647574e-12
106,105,1,2489.0,610293.0,0.00235471,1.326154292132281e-10,9.300000000000001e-05,5.23768740814377e-12
106,90,2,2489.0,610293.0,0.000927089,8.854748464451438e-11,6.850000000000001e-05,6.542524717852586e-12
106,45,3,2489.0,610293.0,0.00197186,1.1279453055928029e-10,9.059999999999999e-05,5.1825101521765206e-12
106,30,4,2489.0,610293.0,0.00194873,1.0780449543393317e-10,9.68e-05,5.3550133461304185e-12
106,15,5,2489.0,610293.0,0.0021386,1.1377078747128059e-10,0.00010316600000000001,5.48829938289635e-12
106,0,6,2489.0,610293.0,0.00184718,1.0183816790334405e-10,9.41e-05,5.187892679492349e-12
106,-15,7,2489.0,610293.0,0.00210658,1.1500586731612452e-10,0.000106595,5.819408912342419e-12
106,-30,8,2489.0,610293.0,0.00202616,1.1084234592859898e-10,8.9e-05,4.868800483498494e-12
106,-45,9,2489.0,610293.0,0.00216243,1.1974762904572093e-10,7.809999999999999e-05,4.324898298890971e-12
106,-90,10,2489.0,610293.0,0.00116255,1.0332084566071341e-10,0.000103336,9.18391717104252e-12
106,-105,11,2489.0,610293.0,0.00185091,1.0684099923131063e-10,9.65e-05,5.570317533441104e-12
106,-120,12,2489.0,610293.0,0.00229644,1.2557463939977149e-10,9.25e-05,5.058113490654606e-12
107,120,0,2487.9,744269.0,0.00320297,1.7011766906570791e-10,9.350000000000001e-05,4.9660165588949295e-12
107,105,1,2487.9,744269.0,0.00315155,1.77492836033715e-10,9.37e-05,5.277110861753453e-12
107,90,2,2487.9,744269.0,0.00146361,1.3979130806271856e-10,7.329999999999999e-05,7.000979004651014e-12
107,45,3,2487.9,744269.0,0.00289347,1.65512556843468e-10,8.68e-05,4.965142176698918e-12
107,30,4,2487.9,744269.0,0.00287634,1.5912023851248726e-10,9.25e-05,5.117135687159749e-12
107,15,5,2487.9,744269.0,0.00295641,1.5727723454033885e-10,0.00010166799999999999,5.408607696918617e-12
107,0,6,2487.9,744269.0,0.00299335,1.6502846495386207e-10,9.63e-05,5.309182412700458e-12
107,-15,7,2487.9,744269.0,0.00292207,1.5952643370222254e-10,0.000104738,5.718028525361605e-12
107,-30,8,2487.9,744269.0,0.00283761,1.5523322404472092e-10,8.65e-05,4.732036424973255e-12
107,-45,9,2487.9,744269.0,0.00299352,1.657704168463009e-10,8.26e-05,4.5740921829499905e-12
107,-90,10,2487.9,744269.0,0.0017702000000000002,1.5732532879325181e-10,0.000108591,9.65095174499379e-12
107,-105,11,2487.9,744269.0,0.00268603,1.5504704667718972e-10,8.99e-05,5.189342448252386e-12
107,-120,12,2487.9,744269.0,0.00348033,1.9031247702626967e-10,9.22e-05,5.041708798252483e-12
108,120,0,2487.5,720127.0,0.00385276,2.046296252133479e-10,0.00010043,5.334086021495377e-12
108,105,1,2487.5,720127.0,0.00374528,2.109312461932548e-10,9.67e-05,5.446068520080672e-12
108,90,2,2487.5,720127.0,0.00166134,1.5867675933952139e-10,7.15e-05,6.8290586471016036e-12
108,45,3,2487.5,720127.0,0.00356578,2.0397009989434872e-10,9.68e-05,5.537163164797872e-12
108,30,4,2487.5,720127.0,0.00343806,1.901948056280697e-10,0.000101327,5.605448732679307e-12
108,15,5,2487.5,720127.0,0.00340864,1.813352927177153e-10,0.000105642,5.620019419265419e-12
108,0,6,2487.5,720127.0,0.00335969,1.8522541080088893e-10,9.81e-05,5.408419467143458e-12
108,-15,7,2487.5,720127.0,0.00355291,1.9396628471082603e-10,0.000106659,5.822902905216286e-12
108,-30,8,2487.5,720127.0,0.00386079,2.1120692380546234e-10,9.89e-05,5.410386155258439e-12
108,-45,9,2487.5,720127.0,0.00358375,1.9845524044366863e-10,9.01e-05,4.989415323048355e-12
108,-90,10,2487.5,720127.0,0.00185815,1.651418256113325e-10,9.53e-05,8.469723101342728e-12
108,-105,11,2487.5,720127.0,0.00321123,1.8536342769857074e-10,0.000101636,5.866785417915233e-12
108,-120,12,2487.5,720127.0,0.00396295,2.167032525166451e-10,0.000100294,5.4843073992617625e-12
110,120,0,2486.4,565276.0,0.00697482,3.704499638001233e-10,0.000139247,7.395753024346976e-12
110,105,1,2486.4,565276.0,0.00698643,3.934702842890094e-10,0.000138136,7.779711696896211e-12
110,90,2,2486.4,565276.0,0.003038,2.901633590195059e-10,9.779999999999999e-05,9.341006093517997e-12
110,45,3,2486.4,565276.0,0.006556,3.750169597976741e-10,0.000133788,7.652954395578284e-12
110,30,4,2486.4,565276.0,0.00635728,3.516871822839668e-10,0.00013613200000000002,7.530874760696552e-12
110,15,5,2486.4,565276.0,0.00647465,3.4444310722010983e-10,0.00014053200000000002,7.47612283966801e-12
110,0,6,2486.4,565276.0,0.00658704,3.631546928323409e-10,0.000135262,7.457223587816091e-12
110,-15,7,2486.4,565276.0,0.00618095,3.374405508395598e-10,0.000149331,8.152522653867495e-12
110,-30,8,2486.4,565276.0,0.00642943,3.5172597632156997e-10,0.00013379899999999998,7.31955770664736e-12
110,-45,9,2486.4,565276.0,0.00674405,3.734613363973836e-10,0.000127705,7.071845547501556e-12
110,-90,10,2486.4,565276.0,0.00355797,3.1621217946363467e-10,0.00012953200000000002,1.151206896918286e-11
110,-105,11,2486.4,565276.0,0.0054893,3.1686159623127727e-10,0.00012983,7.49424171364413e-12
110,-120,12,2486.4,565276.0,0.00731048,3.9975391903957494e-10,0.000144191,7.884696673848413e-12
111,120,0,2486.0,346483.0,0.010173399999999999,5.403344690937076e-10,0.000204744,1.0874460901972015e-11
111,105,1,2486.0,346483.0,0.00984693,5.545714115040121e-10,0.000195616,1.1016940430445714e-11
111,90,2,2486.0,346483.0,0.00449423,4.2924979361627186e-10,0.000135401,1.2932326851415445e-11
111,45,3,2486.0,346483.0,0.00934757,5.347006227724137e-10,0.000196606,1.124627583861829e-11
111,30,4,2486.0,346483.0,0.00907657,5.021193542054441e-10,0.00020407400000000003,1.1289452413204742e-11
111,15,5,2486.0,346483.0,0.00886936,4.718386194549132e-10,0.000187314,9.964865465442557e-12
111,0,6,2486.0,346483.0,0.00861475,4.749457859793486e-10,0.00020162400000000002,1.1115873258341821e-11
111,-15,7,2486.0,346483.0,0.00915678,4.999019385558311e-10,0.000203744,1.1123126313957445e-11
111,-30,8,2486.0,346483.0,0.00939948,5.142044131307239e-10,0.000196835,1.0767981383926136e-11
111,-45,9,2486.0,346483.0,0.00935229,5.178963266547381e-10,0.000185887,1.0293756339128631e-11
111,-90,10,2486.0,346483.0,0.00535637,4.760437642008305e-10,0.000178095,1.5828072777897512e-11
111,-105,11,2486.0,346483.0,0.00783007,4.519790280732766e-10,0.00019788,1.1422325735930835e-11
111,-120,12,2486.0,346483.0,0.010206299999999998,5.581040402126281e-10,0.000201052,1.099398738943881e-11
112,120,0,2485.5,413525.0,0.0154613,8.211879339255847e-10,0.000219405,1.1653142920902051e-11
112,105,1,2485.5,413525.0,0.0153299,8.633680021301416e-10,0.000218754,1.2320054529904109e-11
112,90,2,2485.5,413525.0,0.00717106,6.849173328934885e-10,0.000160252,1.530587841000456e-11
112,45,3,2485.5,413525.0,0.014539600000000001,8.31695635856355e-10,0.00022020700000000001,1.2596302572630633e-11
112,30,4,2485.5,413525.0,0.0138981,7.688482539861071e-10,0.000219893,1.2164565596287769e-11
112,15,5,2485.5,413525.0,0.014246,7.578689976226799e-10,0.000223675,1.1899224206321277e-11
112,0,6,2485.5,413525.0,0.013993700000000001,7.714964270883324e-10,0.00021741599999999998,1.1986513015988398e-11
112,-15,7,2485.5,413525.0,0.014365799999999998,7.842812941782326e-10,0.00022851299999999999,1.2475356149782852e-11
112,-30,8,2485.5,413525.0,0.014634000000000001,8.005620929833367e-10,0.00021480599999999998,1.1751096142228959e-11
112,-45,9,2485.5,413525.0,0.014312799999999999,7.925916052799833e-10,0.000207343,1.1481912778322032e-11
112,-90,10,2485.5,413525.0,0.00758036,6.736993725970028e-10,0.000192093,1.7072135568795685e-11
112,-105,11,2485.5,413525.0,0.0124461,7.184324254192884e-10,0.000217821,1.2573390004680566e-11
112,-120,12,2485.5,413525.0,0.0161712,8.842785392440407e-10,0.000223556,1.2224558048830065e-11
116,120,0,2483.5,115409.0,0.06567610000000002,3.4882203221779607e-09,0.000809798,4.3010377297967866e-11
116,105,1,2483.5,115409.0,0.0635177,3.577267284776919e-09,0.000799294,4.5015614184998554e-11
116,90,2,2483.5,115409.0,0.028942700000000002,2.7643551846918542e-09,0.000553014,5.281909144990554e-11
116,45,3,2483.5,115409.0,0.059037599999999996,3.377074628699079e-09,0.0007503060000000001,4.2919077949657364e-11
116,30,4,2483.5,115409.0,0.0610564,3.3776636039946e-09,0.000793748,4.391044559363975e-11
116,15,5,2483.5,115409.0,0.062228,3.310450090135064e-09,0.0007907789999999999,4.2068432407066206e-11
116,0,6,2483.5,115409.0,0.06131810000000001,3.380570904467373e-09,0.000798022,4.39963070337284e-11
116,-15,7,2483.5,115409.0,0.0626317,3.419292398097065e-09,0.00082725,4.516258757667119e-11
116,-30,8,2483.5,115409.0,0.0634064,3.4686866401898754e-09,0.0007899510000000001,4.321476191842831e-11
116,-45,9,2483.5,115409.0,0.0625826,3.465600259669323e-09,0.000767777,4.251674060470696e-11
116,-90,10,2483.5,115409.0,0.033325400000000005,2.9617724054720563e-09,0.000658774,5.854809408566583e-11
116,-105,11,2483.5,115409.0,0.050265699999999996,2.9015120211470515e-09,0.000752959,4.346342714675938e-11
116,-120,12,2483.5,115409.0,0.067104,3.6694015965068827e-09,0.000803778,4.395243616531219e-11
117,120,0,2482.9,197333.0,0.0147795,7.84975847403076e-10,0.000313054,1.6627073238805274e-11
117,105,1,2482.9,197333.0,0.014447299999999998,8.136606590502738e-10,0.00029728,1.674257755583849e-11
117,90,2,2482.9,197333.0,0.00657342,6.27835953734694e-10,0.000212468,2.0293096959893475e-11
117,45,3,2482.9,197333.0,0.013984100000000001,7.99919869967458e-10,0.000302895,1.7326229719023262e-11
117,30,4,2482.9,197333.0,0.014283100000000002,7.901466025218532e-10,0.000317472,1.7562673522961946e-11
117,15,5,2482.9,197333.0,0.014765799999999999,7.855216934646194e-10,0.000327739,1.7435296041826445e-11
117,0,6,2482.9,197333.0,0.014842600000000001,8.182977245975891e-10,0.000309543,1.7065630857471837e-11
117,-15,7,2482.9,197333.0,0.0153142,8.360579010778579e-10,0.000333494,1.820665092933742e-11
117,-30,8,2482.9,197333.0,0.015022999999999998,8.218425804898637e-10,0.00031906400000000003,1.7454595027718695e-11
117,-45,9,2482.9,197333.0,0.0146016,8.085843149947044e-10,0.000302171,1.6733147808888396e-11
117,-90,10,2482.9,197333.0,0.00738637,6.564586424350984e-10,0.00028079900000000003,2.495582137601193e-11
117,-105,11,2482.9,197333.0,0.0118818,6.858590556356529e-10,0.000307618,1.77567869326641e-11
117,-120,12,2482.9,197333.0,0.015837200000000003,8.660146483696772e-10,0.000329928,1.804122451615884e-11
118,120,0,2482.4,404444.0,0.00727391,3.863353744161648e-10,0.00017146700000000002,9.107037019294511e-12
118,105,1,2482.4,404444.0,0.00693952,3.9082834970496616e-10,0.00016406,9.239731141721148e-12
118,90,2,2482.4,404444.0,0.00315521,3.01358239635265e-10,0.000117085,1.1182941702040435e-11
118,45,3,2482.4,404444.0,0.00675209,3.8623371935330647e-10,0.00016650400000000002,9.52437826024282e-12
118,30,4,2482.4,404444.0,0.00728017,4.0274181314151124e-10,0.00016554700000000002,9.158123909213353e-12
118,15,5,2482.4,404444.0,0.00753507,4.008560963018902e-10,0.00017762599999999998,9.449476243979091e-12
118,0,6,2482.4,404444.0,0.0079194,4.3660996053104895e-10,0.00017616900000000003,9.712495913427075e-12
118,-15,7,2482.4,404444.0,0.00759997,4.1491001596261565e-10,0.00019198099999999998,1.0480941342468312e-11
118,-30,8,2482.4,404444.0,0.00762561,4.171637489322579e-10,0.000163279,8.932279484776974e-12
118,-45,9,2482.4,404444.0,0.00686182,3.799830172253015e-10,0.00014770200000000002,8.179207791841157e-12
118,-90,10,2482.4,404444.0,0.00379079,3.369038996362959e-10,0.000156983,1.3951758044261126e-11
118,-105,11,2482.4,404444.0,0.00549816,3.1737302642139423e-10,0.00016096899999999998,9.291693710264051e-12
118,-120,12,2482.4,404444.0,0.00709613,3.88032766318258e-10,0.00016665200000000002,9.112915993995366e-12
120,120,0,2480.9,717754.0,0.00231349,1.2287518341003026e-10,9.31e-05,4.94477156826864e-12
120,105,1,2480.9,717754.0,0.00244187,1.3752421237982824e-10,8.88e-05,5.001146686485664e-12
120,90,2,2480.9,717754.0,0.00102047,9.746642626024859e-11,6.94e-05,6.628484896627291e-12
120,45,3,2480.9,717754.0,0.00229508,1.3128339293661467e-10,8.9e-05,5.090986794080688e-12
120,30,4,2480.9,717754.0,0.00245834,1.359963172451059e-10,9.87e-05,5.460122079163971e-12
120,15,5,2480.9,717754.0,0.00271013,1.4417545321684358e-10,0.00010148,5.39860633712969e-12
120,0,6,2480.9,717754.0,0.00281847,1.5538703379775558e-10,9.8e-05,5.40290629745218e-12
120,-15,7,2480.9,717754.0,0.00274638,1.499348773270695e-10,0.000104166,5.686800964051413e-12
120,-30,8,2480.9,717754.0,0.00245749,1.3443852247407545e-10,9.159999999999999e-05,5.011035104364742e-12
120,-45,9,2480.9,717754.0,0.00211893,1.1733875483315042e-10,8.03e-05,4.4467264199864926e-12
120,-90,10,2480.9,717754.0,0.00121462,1.0794853172458451e-10,0.000110029,9.778753023270085e-12
120,-105,11,2480.9,717754.0,0.00201412,1.1626205130004556e-10,9.19e-05,5.304789443764119e-12
120,-120,12,2480.9,717754.0,0.00239986,1.3122988369386338e-10,9.290000000000001e-05,5.079986413857437e-12
121,120,0,2479.9,597114.0,0.00203966,1.0833139395203885e-10,0.000103286,5.485775254567077e-12
121,105,1,2479.9,597114.0,0.00215101,1.2114320421281e-10,0.000103444,5.825885336000259e-12
121,90,2,2479.9,597114.0,0.0010115,9.660968981179403e-11,8.35e-05,7.975194364097676e-12
121,45,3,2479.9,597114.0,0.00197303,1.1286145701488787e-10,9.84e-05,5.628686522893705e-12
121,30,4,2479.9,597114.0,0.00232686,1.2872279291918414e-10,0.000107964,5.972610133281244e-12
121,15,5,2479.9,597114.0,0.00240093,1.2772640828739442e-10,0.000109095,5.803714607303543e-12
121,0,6,2479.9,597114.0,0.00260413,1.4357010588147088e-10,0.000111755,6.1612427884874324e-12
